DATUM,CAS,cas,SUM_of_MNOZSTVO,sln_trv,t_pr,tlak_pr,vie_vp_rych,vlh_pr,zra_uhrn
01-08-13,0,0:00:00,13335.6295,0,119,9413,13,87,0
01-08-13,15,0:00:00,13375.40134,0,119,9413,13,87,0
01-08-13,30,0:00:00,13399.13631,0,119,9413,13,87,0
01-08-13,45,0:00:00,13546.72501,0,119,9413,13,87,0
01-08-13,60,1:00:00,13611.87356,0,116,9412,17,89,0
01-08-13,75,1:00:00,13398.16477,0,116,9412,17,89,0
01-08-13,90,1:00:00,13505.72641,0,116,9412,17,89,0
01-08-13,105,1:00:00,13385.48555,0,116,9412,17,89,0
01-08-13,120,2:00:00,13201.43257,0,110,9407,25,90,0
01-08-13,135,2:00:00,13538.80954,0,110,9407,25,90,0
01-08-13,150,2:00:00,13392.85296,0,110,9407,25,90,0
01-08-13,165,2:00:00,13381.77522,0,110,9407,25,90,0
01-08-13,180,3:00:00,13558.66514,0,106,9405,15,92,0
01-08-13,195,3:00:00,13675.90937,0,106,9405,15,92,0
01-08-13,210,3:00:00,13595.36533,0,106,9405,15,92,0
01-08-13,225,3:00:00,13797.26081,0,106,9405,15,92,0
01-08-13,240,4:00:00,14328.06053,0,102,9406,10,93,0
01-08-13,255,4:00:00,16463.46588,0,102,9406,10,93,0
01-08-13,270,4:00:00,17924.57157,0,102,9406,10,93,0
01-08-13,285,4:00:00,18720.77117,0,102,9406,10,93,0
01-08-13,300,5:00:00,19549.94915,438,119,9406,10,91,0
01-08-13,315,5:00:00,20031.79156,438,119,9406,10,91,0
01-08-13,330,5:00:00,20410.86536,438,119,9406,10,91,0
01-08-13,345,5:00:00,20535.58623,438,119,9406,10,91,0
01-08-13,360,6:00:00,21637.86703,600,156,9406,1,82,0
01-08-13,375,6:00:00,21792.47785,600,156,9406,1,82,0
01-08-13,390,6:00:00,21809.82085,600,156,9406,1,82,0
01-08-13,405,6:00:00,21789.24211,600,156,9406,1,82,0
01-08-13,420,7:00:00,21932.96599,600,190,9405,4,73,0
01-08-13,435,7:00:00,22078.15933,600,190,9405,4,73,0
01-08-13,450,7:00:00,22457.85003,600,190,9405,4,73,0
01-08-13,465,7:00:00,22481.68482,600,190,9405,4,73,0
01-08-13,480,8:00:00,22478.11106,600,217,9404,5,63,0
01-08-13,495,8:00:00,22674.30177,600,217,9404,5,63,0
01-08-13,510,8:00:00,22714.5874,600,217,9404,5,63,0
01-08-13,525,8:00:00,21922.63465,600,217,9404,5,63,0
01-08-13,540,9:00:00,21423.07744,600,236,9401,6,53,0
01-08-13,555,9:00:00,21287.51283,600,236,9401,6,53,0
01-08-13,570,9:00:00,21543.10041,600,236,9401,6,53,0
01-08-13,585,9:00:00,21384.69955,600,236,9401,6,53,0
01-08-13,600,10:00:00,21725.72038,550,250,9398,10,48,0
01-08-13,615,10:00:00,21930.90841,550,250,9398,10,48,0
01-08-13,630,10:00:00,22147.20561,550,250,9398,10,48,0
01-08-13,645,10:00:00,22067.80866,550,250,9398,10,48,0
01-08-13,660,11:00:00,22146.95588,547,263,9394,18,46,0
01-08-13,675,11:00:00,21881.65754,547,263,9394,18,46,0
01-08-13,690,11:00:00,21710.41634,547,263,9394,18,46,0
01-08-13,705,11:00:00,21007.85132,547,263,9394,18,46,0
01-08-13,720,12:00:00,20664.09972,490,267,9391,19,45,0
01-08-13,735,12:00:00,21095.23256,490,267,9391,19,45,0
01-08-13,750,12:00:00,21645.49615,490,267,9391,19,45,0
01-08-13,765,12:00:00,21517.38483,490,267,9391,19,45,0
01-08-13,780,13:00:00,21260.96431,428,269,9385,13,44,0
01-08-13,795,13:00:00,21545.9382,428,269,9385,13,44,0
01-08-13,810,13:00:00,21427.6842,428,269,9385,13,44,0
01-08-13,825,13:00:00,20737.31349,428,269,9385,13,44,0
01-08-13,840,14:00:00,20465.28727,237,267,9382,16,47,0
01-08-13,855,14:00:00,19918.02033,237,267,9382,16,47,0
01-08-13,870,14:00:00,20052.46696,237,267,9382,16,47,0
01-08-13,885,14:00:00,19776.80935,237,267,9382,16,47,0
01-08-13,900,15:00:00,19932.91938,475,272,9380,22,47,0
01-08-13,915,15:00:00,19512.18783,475,272,9380,22,47,0
01-08-13,930,15:00:00,19308.7572,475,272,9380,22,47,0
01-08-13,945,15:00:00,18652.74786,475,272,9380,22,47,0
01-08-13,960,16:00:00,18361.85303,600,275,9378,18,46,0
01-08-13,975,16:00:00,17959.0599,600,275,9378,18,46,0
01-08-13,990,16:00:00,17787.13079,600,275,9378,18,46,0
01-08-13,1005,16:00:00,17596.06245,600,275,9378,18,46,0
01-08-13,1020,17:00:00,17623.33706,447,263,9378,21,51,0
01-08-13,1035,17:00:00,17710.31975,447,263,9378,21,51,0
01-08-13,1050,17:00:00,17578.45496,447,263,9378,21,51,0
01-08-13,1065,17:00:00,17615.6145,447,263,9378,21,51,0
01-08-13,1080,18:00:00,17266.00486,202,248,9380,20,56,0
01-08-13,1095,18:00:00,17037.82992,202,248,9380,20,56,0
01-08-13,1110,18:00:00,17087.63395,202,248,9380,20,56,0
01-08-13,1125,18:00:00,17313.44316,202,248,9380,20,56,0
01-08-13,1140,19:00:00,17214.36791,0,211,9387,21,68,0
01-08-13,1155,19:00:00,16772.08343,0,211,9387,21,68,0
01-08-13,1170,19:00:00,16222.13367,0,211,9387,21,68,0
01-08-13,1185,19:00:00,15684.66687,0,211,9387,21,68,0
01-08-13,1200,20:00:00,14751.87977,0,186,9393,5,76,0
01-08-13,1215,20:00:00,14040.73813,0,186,9393,5,76,0
01-08-13,1230,20:00:00,13946.36909,0,186,9393,5,76,0
01-08-13,1245,20:00:00,13493.00306,0,186,9393,5,76,0
01-08-13,1260,21:00:00,13603.79533,0,165,9395,13,81,0
01-08-13,1275,21:00:00,13433.06806,0,165,9395,13,81,0
01-08-13,1290,21:00:00,13230.31796,0,165,9395,13,81,0
01-08-13,1305,21:00:00,13162.21982,0,165,9395,13,81,0
01-08-13,1320,22:00:00,12927.6812,0,160,9396,26,83,0
02-08-13,-105,22:00:00,12723.09873,0,160,9396,26,83,0
02-08-13,-90,22:00:00,12593.21028,0,160,9396,26,83,0
02-08-13,-75,22:00:00,12396.4771,0,160,9396,26,83,0
02-08-13,-60,23:00:00,12266.85526,0,158,9394,31,83,0
02-08-13,-45,23:00:00,12079.20905,0,158,9394,31,83,0
02-08-13,-30,23:00:00,12290.04969,0,158,9394,31,83,0
02-08-13,-15,23:00:00,12296.50885,0,158,9394,31,83,0
02-08-13,0,0:00:00,12438.88158,0,144,9393,14,84,0
02-08-13,15,0:00:00,12374.12222,0,144,9393,14,84,0
02-08-13,30,0:00:00,12303.8764,0,144,9393,14,84,0
02-08-13,45,0:00:00,12233.17073,0,144,9393,14,84,0
02-08-13,60,1:00:00,12169.88545,0,134,9392,9,86,0
02-08-13,75,1:00:00,11733.92073,0,134,9392,9,86,0
02-08-13,90,1:00:00,11862.82612,0,134,9392,9,86,0
02-08-13,105,1:00:00,12314.27784,0,134,9392,9,86,0
02-08-13,120,2:00:00,12299.02162,0,132,9388,15,90,0
02-08-13,135,2:00:00,12339.32131,0,132,9388,15,90,0
02-08-13,150,2:00:00,12672.79139,0,132,9388,15,90,0
02-08-13,165,2:00:00,12741.67709,0,132,9388,15,90,0
02-08-13,180,3:00:00,12672.54962,0,132,9386,11,90,0
02-08-13,195,3:00:00,12692.67815,0,132,9386,11,90,0
02-08-13,210,3:00:00,12662.28505,0,132,9386,11,90,0
02-08-13,225,3:00:00,13122.37453,0,132,9386,11,90,0
02-08-13,240,4:00:00,13886.76927,0,138,9385,20,90,0
02-08-13,255,4:00:00,15547.69385,0,138,9385,20,90,0
02-08-13,270,4:00:00,16532.71734,0,138,9385,20,90,0
02-08-13,285,4:00:00,17323.54875,0,138,9385,20,90,0
02-08-13,300,5:00:00,18508.07963,308,137,9387,7,89,0
02-08-13,315,5:00:00,19331.02415,308,137,9387,7,89,0
02-08-13,330,5:00:00,19800.12094,308,137,9387,7,89,0
02-08-13,345,5:00:00,20240.15745,308,137,9387,7,89,0
02-08-13,360,6:00:00,20583.46338,600,174,9387,6,82,0
02-08-13,375,6:00:00,20089.84241,600,174,9387,6,82,0
02-08-13,390,6:00:00,20164.27081,600,174,9387,6,82,0
02-08-13,405,6:00:00,20499.52045,600,174,9387,6,82,0
02-08-13,420,7:00:00,20417.65674,600,211,9388,1,70,0
02-08-13,435,7:00:00,20724.28555,600,211,9388,1,70,0
02-08-13,450,7:00:00,20992.1438,600,211,9388,1,70,0
02-08-13,465,7:00:00,20973.66519,600,211,9388,1,70,0
02-08-13,480,8:00:00,21121.80784,600,237,9388,7,61,0
02-08-13,495,8:00:00,21080.37783,600,237,9388,7,61,0
02-08-13,510,8:00:00,20711.31032,600,237,9388,7,61,0
02-08-13,525,8:00:00,20002.00111,600,237,9388,7,61,0
02-08-13,540,9:00:00,20047.1844,600,258,9386,12,52,0
02-08-13,555,9:00:00,20663.09923,600,258,9386,12,52,0
02-08-13,570,9:00:00,20817.44535,600,258,9386,12,52,0
02-08-13,585,9:00:00,20490.92624,600,258,9386,12,52,0
02-08-13,600,10:00:00,20606.24391,600,274,9383,6,41,0
02-08-13,615,10:00:00,20538.74605,600,274,9383,6,41,0
02-08-13,630,10:00:00,20464.19136,600,274,9383,6,41,0
02-08-13,645,10:00:00,20440.89287,600,274,9383,6,41,0
02-08-13,660,11:00:00,20637.41193,593,288,9379,17,39,0
02-08-13,675,11:00:00,20138.48957,593,288,9379,17,39,0
02-08-13,690,11:00:00,20050.40121,593,288,9379,17,39,0
02-08-13,705,11:00:00,19528.79446,593,288,9379,17,39,0
02-08-13,720,12:00:00,19162.71617,545,296,9376,17,37,0
02-08-13,735,12:00:00,19271.13209,545,296,9376,17,37,0
02-08-13,750,12:00:00,19297.1696,545,296,9376,17,37,0
02-08-13,765,12:00:00,19311.74428,545,296,9376,17,37,0
02-08-13,780,13:00:00,19158.58244,600,304,9375,13,35,0
02-08-13,795,13:00:00,18995.4267,600,304,9375,13,35,0
02-08-13,810,13:00:00,18581.47529,600,304,9375,13,35,0
