DATUM,CAS,SUM_of_MNOZSTVO
01-08-13,0,13335.6295
01-08-13,15,13375.40134
01-08-13,30,13399.13631
01-08-13,45,13546.72501
01-08-13,60,13611.87356
01-08-13,75,13398.16477
01-08-13,90,13505.72641
01-08-13,105,13385.48555
01-08-13,120,13201.43257
01-08-13,135,13538.80954
01-08-13,150,13392.85296
01-08-13,165,13381.77522
01-08-13,180,13558.66514
01-08-13,195,13675.90937
01-08-13,210,13595.36533
01-08-13,225,13797.26081
01-08-13,240,14328.06053
01-08-13,255,16463.46588
01-08-13,270,17924.57157
01-08-13,285,18720.77117
01-08-13,300,19549.94915
01-08-13,315,20031.79156
01-08-13,330,20410.86536
01-08-13,345,20535.58623
01-08-13,360,21637.86703
01-08-13,375,21792.47785
01-08-13,390,21809.82085
01-08-13,405,21789.24211
01-08-13,420,21932.96599
01-08-13,435,22078.15933
01-08-13,450,22457.85003
01-08-13,465,22481.68482
01-08-13,480,22478.11106
01-08-13,495,22674.30177
01-08-13,510,22714.5874
01-08-13,525,21922.63465
01-08-13,540,21423.07744
01-08-13,555,21287.51283
01-08-13,570,21543.10041
01-08-13,585,21384.69955
