DATUM,CAS,SUM_of_MNOZSTVO
01-08-13,0,13335.6295
01-08-13,15,13375.40134
01-08-13,30,13399.13631
01-08-13,45,13546.72501
01-08-13,60,13611.87356
01-08-13,75,13398.16477
01-08-13,90,13505.72641
01-08-13,105,13385.48555
01-08-13,120,13201.43257
01-08-13,135,13538.80954
01-08-13,150,13392.85296
01-08-13,165,13381.77522
01-08-13,180,13558.66514
01-08-13,195,13675.90937
01-08-13,210,13595.36533
01-08-13,225,13797.26081
01-08-13,240,14328.06053
01-08-13,255,16463.46588
01-08-13,270,17924.57157
01-08-13,285,18720.77117
01-08-13,300,19549.94915
01-08-13,315,20031.79156
01-08-13,330,20410.86536
01-08-13,345,20535.58623
01-08-13,360,21637.86703
01-08-13,375,21792.47785
01-08-13,390,21809.82085
01-08-13,405,21789.24211
01-08-13,420,21932.96599
01-08-13,435,22078.15933
01-08-13,450,22457.85003
01-08-13,465,22481.68482
01-08-13,480,22478.11106
01-08-13,495,22674.30177
01-08-13,510,22714.5874
01-08-13,525,21922.63465
01-08-13,540,21423.07744
01-08-13,555,21287.51283
01-08-13,570,21543.10041
01-08-13,585,21384.69955
01-08-13,600,21725.72038
01-08-13,615,21930.90841
01-08-13,630,22147.20561
01-08-13,645,22067.80866
01-08-13,660,22146.95588
01-08-13,675,21881.65754
01-08-13,690,21710.41634
01-08-13,705,21007.85132
01-08-13,720,20664.09972
01-08-13,735,21095.23256
01-08-13,750,21645.49615
01-08-13,765,21517.38483
01-08-13,780,21260.96431
01-08-13,795,21545.9382
01-08-13,810,21427.6842
01-08-13,825,20737.31349
01-08-13,840,20465.28727
01-08-13,855,19918.02033
01-08-13,870,20052.46696
01-08-13,885,19776.80935
01-08-13,900,19932.91938
01-08-13,915,19512.18783
01-08-13,930,19308.7572
01-08-13,945,18652.74786
01-08-13,960,18361.85303
01-08-13,975,17959.0599
01-08-13,990,17787.13079
01-08-13,1005,17596.06245
01-08-13,1020,17623.33706
01-08-13,1035,17710.31975
01-08-13,1050,17578.45496
01-08-13,1065,17615.6145
01-08-13,1080,17266.00486
01-08-13,1095,17037.82992
01-08-13,1110,17087.63395
01-08-13,1125,17313.44316
01-08-13,1140,17214.36791
01-08-13,1155,16772.08343
01-08-13,1170,16222.13367
01-08-13,1185,15684.66687
01-08-13,1200,14751.87977
01-08-13,1215,14040.73813
01-08-13,1230,13946.36909
01-08-13,1245,13493.00306
01-08-13,1260,13603.79533
01-08-13,1275,13433.06806
01-08-13,1290,13230.31796
01-08-13,1305,13162.21982
01-08-13,1320,12927.6812
02-08-13,-105,12723.09873
02-08-13,-90,12593.21028
02-08-13,-75,12396.4771
02-08-13,-60,12266.85526
02-08-13,-45,12079.20905
02-08-13,-30,12290.04969
02-08-13,-15,12296.50885
02-08-13,0,12438.88158
02-08-13,15,12374.12222
02-08-13,30,12303.8764
02-08-13,45,12233.17073
02-08-13,60,12169.88545
02-08-13,75,11733.92073
02-08-13,90,11862.82612
02-08-13,105,12314.27784
02-08-13,120,12299.02162
02-08-13,135,12339.32131
02-08-13,150,12672.79139
02-08-13,165,12741.67709
02-08-13,180,12672.54962
02-08-13,195,12692.67815
02-08-13,210,12662.28505
02-08-13,225,13122.37453
02-08-13,240,13886.76927
02-08-13,255,15547.69385
02-08-13,270,16532.71734
02-08-13,285,17323.54875
02-08-13,300,18508.07963
02-08-13,315,19331.02415
02-08-13,330,19800.12094
02-08-13,345,20240.15745
02-08-13,360,20583.46338
02-08-13,375,20089.84241
02-08-13,390,20164.27081
02-08-13,405,20499.52045
02-08-13,420,20417.65674
02-08-13,435,20724.28555
02-08-13,450,20992.1438
02-08-13,465,20973.66519
02-08-13,480,21121.80784
02-08-13,495,21080.37783
02-08-13,510,20711.31032
02-08-13,525,20002.00111
02-08-13,540,20047.1844
02-08-13,555,20663.09923
02-08-13,570,20817.44535
02-08-13,585,20490.92624
02-08-13,600,20606.24391
02-08-13,615,20538.74605
02-08-13,630,20464.19136
02-08-13,645,20440.89287
02-08-13,660,20637.41193
02-08-13,675,20138.48957
02-08-13,690,20050.40121
02-08-13,705,19528.79446
02-08-13,720,19162.71617
02-08-13,735,19271.13209
02-08-13,750,19297.1696
02-08-13,765,19311.74428
02-08-13,780,19158.58244
02-08-13,795,18995.4267
02-08-13,810,18581.47529
02-08-13,825,18211.72082
02-08-13,840,17982.94516
02-08-13,855,17737.50056
02-08-13,870,17571.25935
02-08-13,885,17649.4231
02-08-13,900,17734.10597
02-08-13,915,17440.35612
02-08-13,930,17321.66374
02-08-13,945,16978.19992
02-08-13,960,16775.61235
02-08-13,975,16561.03634
02-08-13,990,16513.97353
02-08-13,1005,16824.61897
02-08-13,1020,16765.65741
02-08-13,1035,16624.68161
02-08-13,1050,16257.85229
02-08-13,1065,15984.06072
02-08-13,1080,15632.40965
02-08-13,1095,15116.37364
02-08-13,1110,14808.1055
02-08-13,1125,14598.90315
02-08-13,1140,14593.08784
02-08-13,1155,14417.02756
02-08-13,1170,14112.32857
02-08-13,1185,13464.40041
02-08-13,1200,12944.47904
02-08-13,1215,12366.9318
02-08-13,1230,11968.4589
02-08-13,1245,11635.82959
02-08-13,1260,11245.66249
02-08-13,1275,11088.13571
02-08-13,1290,10605.27262
02-08-13,1305,10418.9984
02-08-13,1320,10263.15581
03-08-13,-105,10066.39969
03-08-13,-90,10041.8169
03-08-13,-75,10128.4909
03-08-13,-60,10242.31796
03-08-13,-45,10026.69132
03-08-13,-30,9893.303978
03-08-13,-15,9786.01048
