DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,76386.965734
01/07/2013,-90,75261.242733
01/07/2013,-75,74498.759976
01/07/2013,-60,73875.764904
01/07/2013,-45,73727.951383
01/07/2013,-30,73403.047718
01/07/2013,-15,72937.98991
01/07/2013,0,72540.677504
01/07/2013,15,72814.43985
01/07/2013,30,73335.865135
01/07/2013,45,73582.59832
01/07/2013,60,73412.102263
01/07/2013,75,74331.711577
01/07/2013,90,74472.806704
01/07/2013,105,76420.959817
01/07/2013,120,78111.950471
01/07/2013,135,80719.884633
01/07/2013,150,82156.807468
01/07/2013,165,83511.150451
01/07/2013,180,85017.1434
