DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,76386.965734
02/07/2013,-90,75261.242733
03/07/2013,-75,74498.759976
04/07/2013,-60,73875.764904
05/07/2013,-45,73727.951383
06/07/2013,-30,73403.047718
07/07/2013,-15,72937.98991
02/07/2013,0,72540.677504
02/07/2013,15,72814.43985
02/07/2013,30,73335.865135
02/07/2013,45,73582.59832
02/07/2013,60,73412.102263
02/07/2013,75,74331.711577
01/07/2013,90,74472.806704
01/07/2013,105,76420.959817
01/07/2013,120,78111.950471
01/07/2013,135,80719.884633
01/07/2013,150,82156.807468
01/07/2013,165,83511.150451
01/07/2013,180,85017.1434
01/07/2013,195,25599.723094
01/07/2013,210,25537.201775
01/01/2013,225,26068.013061
01/07/2013,240,29997.216169
24/12/2015,255,36530.554026
01/07/2013,270,39973.808228
01/07/2013,285,42279.654548
01/07/2013,300,43609.590914
01/07/2013,315,45171.045517
01/07/2013,330,46057.965654
01/07/2013,345,46732.627453
01/07/2013,360,47515.045558
01/07/2013,375,48375.159519
01/07/2013,390,48599.44437
01/07/2013,405,48916.680481
01/07/2013,420,49210.324475
01/07/2013,435,49396.409196
01/07/2013,450,48796.708342
01/07/2013,465,48794.485396
01/07/2013,480,48440.563054
